filename,method,condition,n_samples_after_t0,t0_seconds,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_fig8_pid_13p5wind,PID,13p5wind,4001,20.000000,1.765203,1.793387,0.759199,2.866612,2.937478
simpleflight_fig8_pid_15wind,PID,15wind,4001,20.000000,1.763774,1.793649,0.952497,2.956724,3.023112
simpleflight_fig8_pid_18sint,PID,18sint,4001,20.000000,1.766760,1.782556,0.908128,3.003270,3.132246
simpleflight_fig8_pid_gusts,PID,gusts,4001,20.000000,1.763399,1.735990,0.054340,2.674265,2.756312
simpleflight_fig8_pid_ou15,PID,ou15,4001,20.000000,1.765309,1.795318,1.023926,3.018322,3.104673
simpleflight_fig8_pid_10sint,PID,10sint,4001,20.000000,1.763529,1.752333,0.270610,2.711755,2.790815
simpleflight_fig8_pid_10wind,PID,10wind,4001,20.000000,1.765570,1.784805,0.436225,2.762671,2.839797
simpleflight_fig8_pid_12wind,PID,12wind,4001,20.000000,1.762735,1.787933,0.626222,2.809369,2.885064
simpleflight_fig8_pid_5wind,PID,5wind,4001,20.000000,1.762304,1.755453,0.151603,2.695233,2.775068
simpleflight_fig8_pid_nowind,PID,nowind,4001,20.000000,1.765055,1.736400,0.053978,2.675881,2.758177
simpleflight_fig8_adaptive_13p5wind,Adaptive,13p5wind,4001,20.000000,0.814717,0.814287,1.212983,1.753719,1.776183
simpleflight_fig8_adaptive_15wind,Adaptive,15wind,4001,20.000000,0.864214,1.929559,6.334800,7.225514,10.916426
simpleflight_fig8_adaptive_18sint,Adaptive,18sint,4001,20.000000,0.811362,0.830935,1.570504,2.072971,2.202755
simpleflight_fig8_adaptive_gusts,Adaptive,gusts,4001,20.000000,0.813391,0.852591,1.219030,1.775602,1.792284
simpleflight_fig8_adaptive_ou15,Adaptive,ou15,4001,20.000000,0.813744,0.815501,1.278888,1.822149,1.877913
simpleflight_fig8_adaptive_10sint,Adaptive,10sint,4001,20.000000,0.814685,0.837913,1.219240,1.767303,1.785521
simpleflight_fig8_adaptive_10wind,Adaptive,10wind,4001,20.000000,0.811090,0.818759,1.212585,1.750895,1.769274
simpleflight_fig8_adaptive_12wind,Adaptive,12wind,4001,20.000000,0.813351,0.817711,1.214220,1.754603,1.773835
simpleflight_fig8_adaptive_5wind,Adaptive,5wind,4001,20.000000,0.814864,0.840201,1.219748,1.769944,1.787105
simpleflight_fig8_adaptive_nowind,Adaptive,nowind,4001,20.000000,0.807444,0.851358,1.213417,1.767880,1.784679
simpleflight_fig8_nnadaptive_13p5wind,NNAdaptive,13p5wind,4001,20.000000,0.865862,0.854166,20.454022,20.592824,32.884015
simpleflight_fig8_nnadaptive_15wind,NNAdaptive,15wind,4001,20.000000,0.861400,0.845382,2.093141,2.476535,2.572888
simpleflight_fig8_nnadaptive_18sint,NNAdaptive,18sint,4001,20.000000,0.862788,0.860973,3.499109,3.777529,3.988216
simpleflight_fig8_nnadaptive_gusts,NNAdaptive,gusts,4001,20.000000,0.858795,0.891713,23.794436,23.898014,37.663501
simpleflight_fig8_nnadaptive_ou15,NNAdaptive,ou15,4001,20.000000,0.861198,0.834624,2.434620,2.780820,2.924421
simpleflight_fig8_nnadaptive_10sint,NNAdaptive,10sint,4001,20.000000,0.864433,0.872403,24.643337,24.730583,36.770007
simpleflight_fig8_nnadaptive_10wind,NNAdaptive,10wind,4001,20.000000,0.862667,0.857650,19.288540,19.406046,30.736468
simpleflight_fig8_nnadaptive_12wind,NNAdaptive,12wind,4001,20.000000,0.860557,0.851686,6.917694,7.075224,8.082951
simpleflight_fig8_nnadaptive_5wind,NNAdaptive,5wind,4001,20.000000,0.863444,0.876833,5.169390,5.355185,5.522167
simpleflight_fig8_nnadaptive_nowind,NNAdaptive,nowind,4001,20.000000,0.864849,0.894379,6.472693,6.634555,7.029593
simpleflight_fig8_metapinn_13p5wind,MetaPINN,13p5wind,4001,20.000000,0.837183,0.821594,0.575069,1.446671,1.484884
simpleflight_fig8_metapinn_15wind,MetaPINN,15wind,4001,20.000000,0.834234,0.816334,0.886249,1.662096,1.690320
simpleflight_fig8_metapinn_18sint,MetaPINN,18sint,4001,20.000000,0.835143,0.843914,0.766310,1.629270,1.811830
simpleflight_fig8_metapinn_gusts,MetaPINN,gusts,4001,20.000000,0.836084,0.867266,0.859300,1.573407,1.664832
simpleflight_fig8_metapinn_ou15,MetaPINN,ou15,4001,20.000000,0.838790,0.821557,0.847467,1.654077,1.731149
simpleflight_fig8_metapinn_10sint,MetaPINN,10sint,4001,20.000000,0.832987,0.844765,0.598398,1.425504,1.511649
simpleflight_fig8_metapinn_10wind,MetaPINN,10wind,4001,20.000000,0.834467,0.833281,0.516443,1.376576,1.451295
simpleflight_fig8_metapinn_12wind,MetaPINN,12wind,4001,20.000000,0.835052,0.825130,0.504148,1.376677,1.436347
simpleflight_fig8_metapinn_5wind,MetaPINN,5wind,4001,20.000000,0.834812,0.850050,0.719646,1.487198,1.571924
simpleflight_fig8_metapinn_nowind,MetaPINN,nowind,4001,20.000000,0.836276,0.866853,0.863169,1.575015,1.667094
